ODB Name,Step,Frame,Part Instance Name,    êﬂì_ÉâÉxÉã,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,       S-Mises
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,54,-5,15,0,NA,NA,,7.43E-01,-7.35E-01,-1.08E-01,1.82E-06
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,55,5,13.125,0,NA,NA,,7.06E-01,-6.99E-01,9.72E-02,6.47E-06
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,56,3,13.125,0,NA,NA,,7.01E-01,-6.98E-01,5.62E-02,8.81E-06
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,57,1,13.125,0,NA,NA,,6.98E-01,-6.98E-01,1.51E-02,1.01E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,58,-1,13.125,0,NA,NA,,6.98E-01,-6.98E-01,-2.59E-02,9.83E-06
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,59,-3,13.125,0,NA,NA,,7.00E-01,-6.97E-01,-6.70E-02,8.37E-06
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,60,-5,13.125,0,NA,NA,,7.05E-01,-6.97E-01,-1.08E-01,6.34E-06
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,61,5,11.25,0,NA,NA,,6.67E-01,-6.60E-01,9.76E-02,1.79E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,62,3,11.25,0,NA,NA,,6.62E-01,-6.60E-01,5.66E-02,1.77E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,63,1,11.25,0,NA,NA,,6.60E-01,-6.59E-01,1.56E-02,1.87E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,64,-1,11.25,0,NA,NA,,6.60E-01,-6.59E-01,-2.55E-02,1.78E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,65,-3,11.25,0,NA,NA,,6.62E-01,-6.59E-01,-6.66E-02,1.58E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,66,-5,11.25,0,NA,NA,,6.67E-01,-6.58E-01,-1.08E-01,1.64E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,67,5,9.375,0,NA,NA,,6.29E-01,-6.22E-01,9.80E-02,4.08E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,68,3,9.375,0,NA,NA,,6.24E-01,-6.21E-01,5.70E-02,2.98E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,69,1,9.375,0,NA,NA,,6.21E-01,-6.21E-01,1.60E-02,2.79E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,70,-1,9.375,0,NA,NA,,6.21E-01,-6.21E-01,-2.51E-02,2.49E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,71,-3,9.375,0,NA,NA,,6.24E-01,-6.20E-01,-6.62E-02,2.24E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,72,-5,9.375,0,NA,NA,,6.29E-01,-6.20E-01,-1.07E-01,3.40E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,73,5,7.5,0,NA,NA,,5.92E-01,-5.83E-01,9.82E-02,8.73E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,74,3,7.5,0,NA,NA,,5.86E-01,-5.83E-01,5.74E-02,2.92E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,75,1,7.5,0,NA,NA,,5.83E-01,-5.83E-01,1.64E-02,3.30E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,76,-1,7.5,0,NA,NA,,5.83E-01,-5.82E-01,-2.47E-02,2.41E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,77,-3,7.5,0,NA,NA,,5.85E-01,-5.82E-01,-6.58E-02,1.72E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,78,-5,7.5,0,NA,NA,,5.91E-01,-5.81E-01,-1.07E-01,5.58E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,79,5,5.625,0,NA,NA,,5.54E-01,-5.45E-01,9.85E-02,1.98E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,80,3,5.625,0,NA,NA,,5.48E-01,-5.45E-01,5.78E-02,1.25E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,81,1,5.625,0,NA,NA,,5.44E-01,-5.44E-01,1.68E-02,1.19E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,82,-1,5.625,0,NA,NA,,5.44E-01,-5.44E-01,-2.43E-02,8.56E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,83,-3,5.625,0,NA,NA,,5.47E-01,-5.43E-01,-6.54E-02,3.89E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,84,-5,5.625,0,NA,NA,,5.53E-01,-5.43E-01,-1.07E-01,6.30E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,85,5,3.75,0,NA,NA,,5.17E-01,-5.08E-01,9.84E-02,5.43E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,86,3,3.75,0,NA,NA,,5.10E-01,-5.07E-01,5.80E-02,5.81E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,87,1,3.75,0,NA,NA,,5.06E-01,-5.06E-01,1.70E-02,3.77E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,88,-1,3.75,0,NA,NA,,5.05E-01,-5.05E-01,-2.40E-02,2.62E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,89,-3,3.75,0,NA,NA,,5.08E-01,-5.04E-01,-6.50E-02,1.57E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,90,-5,3.75,0,NA,NA,,5.15E-01,-5.04E-01,-1.06E-01,1.72E-05
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,91,5,1.875,0,NA,NA,,4.81E-01,-4.70E-01,9.90E-02,1.07E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,92,3,1.875,0,NA,NA,,4.72E-01,-4.68E-01,5.76E-02,1.08E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,93,1,1.875,0,NA,NA,,4.67E-01,-4.67E-01,1.69E-02,7.24E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,94,-1,1.875,0,NA,NA,,4.66E-01,-4.65E-01,-2.37E-02,5.21E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,95,-3,1.875,0,NA,NA,,4.69E-01,-4.65E-01,-6.45E-02,3.47E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,96,-5,1.875,0,NA,NA,,4.77E-01,-4.65E-01,-1.06E-01,1.34E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,97,5,0,0,NA,NA,,4.41E-01,-4.30E-01,9.93E-02,7.41E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,98,3,0,0,NA,NA,,4.32E-01,-4.28E-01,5.71E-02,1.16E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,99,1,0,0,NA,NA,,4.27E-01,-4.27E-01,1.67E-02,9.76E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,100,-1,0,0,NA,NA,,4.26E-01,-4.26E-01,-2.34E-02,7.72E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,101,-3,0,0,NA,NA,,4.30E-01,-4.25E-01,-6.38E-02,5.74E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,102,-5,0,0,NA,NA,,4.38E-01,-4.25E-01,-1.05E-01,4.07E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,103,5,-1.875,0,NA,NA,,4.01E-01,-3.89E-01,9.82E-02,9.84E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,104,3,-1.875,0,NA,NA,,3.92E-01,-3.87E-01,5.67E-02,8.56E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,105,1,-1.875,0,NA,NA,,3.87E-01,-3.87E-01,1.67E-02,1.02E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,106,-1,-1.875,0,NA,NA,,3.87E-01,-3.86E-01,-2.28E-02,9.34E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,107,-3,-1.875,0,NA,NA,,3.91E-01,-3.86E-01,-6.27E-02,7.96E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,108,-5,-1.875,0,NA,NA,,4.00E-01,-3.86E-01,-1.04E-01,7.81E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,109,5,-3.75,0,NA,NA,,3.62E-01,-3.49E-01,9.67E-02,1.35E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,110,3,-3.75,0,NA,NA,,3.52E-01,-3.48E-01,5.61E-02,9.72E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,111,1,-3.75,0,NA,NA,,3.47E-01,-3.47E-01,1.67E-02,9.96E-04
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,112,-1,-3.75,0,NA,NA,,3.47E-01,-3.47E-01,-2.21E-02,1.01E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,113,-3,-3.75,0,NA,NA,,3.52E-01,-3.47E-01,-6.13E-02,1.00E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,114,-5,-3.75,0,NA,NA,,3.62E-01,-3.47E-01,-1.02E-01,1.21E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,115,5,-5.625,0,NA,NA,,3.25E-01,-3.11E-01,9.45E-02,1.73E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,116,3,-5.625,0,NA,NA,,3.14E-01,-3.09E-01,5.50E-02,1.19E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,117,1,-5.625,0,NA,NA,,3.09E-01,-3.08E-01,1.67E-02,1.00E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,118,-1,-5.625,0,NA,NA,,3.09E-01,-3.08E-01,-2.12E-02,1.04E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,119,-3,-5.625,0,NA,NA,,3.14E-01,-3.08E-01,-5.94E-02,1.21E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,120,-5,-5.625,0,NA,NA,,3.24E-01,-3.09E-01,-9.88E-02,1.65E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,121,5,-7.5,0,NA,NA,,2.88E-01,-2.73E-01,9.16E-02,2.13E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,122,3,-7.5,0,NA,NA,,2.77E-01,-2.72E-01,5.34E-02,1.42E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,123,1,-7.5,0,NA,NA,,2.71E-01,-2.70E-01,1.64E-02,1.04E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,124,-1,-7.5,0,NA,NA,,2.71E-01,-2.70E-01,-2.01E-02,1.06E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,125,-3,-7.5,0,NA,NA,,2.77E-01,-2.71E-01,-5.71E-02,1.43E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,126,-5,-7.5,0,NA,NA,,2.88E-01,-2.72E-01,-9.53E-02,2.09E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,127,5,-9.375,0,NA,NA,,2.53E-01,-2.37E-01,8.80E-02,2.54E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,128,3,-9.375,0,NA,NA,,2.41E-01,-2.35E-01,5.14E-02,1.65E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,129,1,-9.375,0,NA,NA,,2.35E-01,-2.34E-01,1.60E-02,1.08E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,130,-1,-9.375,0,NA,NA,,2.35E-01,-2.34E-01,-1.90E-02,1.09E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,131,-3,-9.375,0,NA,NA,,2.41E-01,-2.34E-01,-5.44E-02,1.65E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,132,-5,-9.375,0,NA,NA,,2.53E-01,-2.36E-01,-9.11E-02,2.52E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,133,5,-11.25,0,NA,NA,,2.20E-01,-2.03E-01,8.37E-02,2.96E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,134,3,-11.25,0,NA,NA,,2.07E-01,-2.01E-01,4.90E-02,1.89E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,135,1,-11.25,0,NA,NA,,2.00E-01,-1.99E-01,1.54E-02,1.13E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,136,-1,-11.25,0,NA,NA,,2.00E-01,-1.99E-01,-1.77E-02,1.13E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,137,-3,-11.25,0,NA,NA,,2.06E-01,-2.00E-01,-5.13E-02,1.89E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,138,-5,-11.25,0,NA,NA,,2.19E-01,-2.02E-01,-8.61E-02,2.95E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,139,5,-13.125,0,NA,NA,,1.88E-01,-1.71E-01,7.87E-02,3.38E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,140,3,-13.125,0,NA,NA,,1.74E-01,-1.68E-01,4.61E-02,2.13E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,141,1,-13.125,0,NA,NA,,1.67E-01,-1.66E-01,1.47E-02,1.18E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,142,-1,-13.125,0,NA,NA,,1.67E-01,-1.66E-01,-1.64E-02,1.17E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,143,-3,-13.125,0,NA,NA,,1.74E-01,-1.67E-01,-4.78E-02,2.12E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,144,-5,-13.125,0,NA,NA,,1.87E-01,-1.69E-01,-8.05E-02,3.37E-03
C:/temp/dataset/test2/8_1.odb,Step-1,Increment      1: Step Time =    1.000,PART-1-1,145,5,-15,0,NA,NA,,1.58E-01,-1.40E-01,7.29E-02,3.80E-03
